evidence_candidate_id,source_sha256,evidence_text,correction_reason
SAFE-OTC-01-NB-P1-B12-duplicate_ingredient,0c8ea0d7eb164b27673fc8549c42a06d874fdfa26047db8d0681b3a2f79c9442,아세트아미노펜을 포함하는 다른 제품과 함께 복용하여서는 안 된다.,PDF 시각 줄바꿈으로 나뉜 단어와 연속 문장 복원
SAFE-OTC-01-NB-P1-B3-alcohol,0c8ea0d7eb164b27673fc8549c42a06d874fdfa26047db8d0681b3a2f79c9442,"1) 매일 세잔 이상 정기적으로 술을 마시는 사람이 이 약이나 다른 해열 진통제를 복용해야 할 경우 반드시 의사 또는 약사와 상의해야 한다. 이러한 사람이 이 약을 복용하면 간손상이 유발될 수 있다.",PDF 시각 줄바꿈으로 나뉜 연속 문장 복원
SAFE-OTC-05-NB-P1-B17-gi_bleeding_ulcer,56a65a632347d0b38b6b0707e872564af4c139683559beafa0f66c99bea322ba,"3) 위장관계 위험: 이 약을 포함한 비스테로이드성 소염진통제 복용 시 위장관의 출혈, 궤양 및 천공(뚫림) 등 치명적일 수 있는 중대한 위장관계 이상반응이 나타날 수 있다.",PDF 시각 줄바꿈으로 나뉜 연속 문장 복원
SAFE-OTC-05-NB-P2-B9-pregnancy_lactation,56a65a632347d0b38b6b0707e872564af4c139683559beafa0f66c99bea322ba,11) 임신 말기 3개월 기간에 해당하는 임부(비스테로이드성 소염진통제와 마찬가지로 임신 말기에 이 약을 투여 시 태아의 동맥관을 조기 폐쇄시킬 수 있다),PDF 시각 줄바꿈으로 나뉜 연속 문장 복원
SAFE-OTC-05-NB-P4-B10-anticoagulant_antiplatelet,56a65a632347d0b38b6b0707e872564af4c139683559beafa0f66c99bea322ba,"5) 쿠마린계 항응혈제(와파린 등) (쿠마린계 항응혈제와 병용투여 시 그 작용을 증강시킬 수 있고, 중증의 위장관계 출혈의 위험이 높아질 수 있다.)",PDF 시각 줄바꿈으로 나뉜 연속 문장 복원
SAFE-OTC-10-NB-P1-B20-sedative_medication,4dc2cc19d6409256b5607f139786118d25b38869a1c47ee0150664b7ea18720d,"3. 이 약을 복용하는 동안 다음의 약을 복용하지 말 것. 진해(기침을 그치게 함)거담제, 다른 감기약, 해열진통제, 진정제, 항히스타민제를 함유하는 내복약(비염(코염)용 경구제, 멀미약, 알레르기용약)",PDF 시각 줄바꿈으로 나뉜 상위 지시문과 연속 문장 복원
SAFE-OTC-10-NB-P2-B4-decongestant_hypertension,4dc2cc19d6409256b5607f139786118d25b38869a1c47ee0150664b7ea18720d,"4. 다음과 같은 사람은 이 약을 복용하기 전에 의사, 치과의사, 약사와 상의 할 것. … 4) 간장질환, 신장(콩팥)질환, 심장질환, 갑상선질환, 당뇨병, 고혈압, 위십이지장궤양, 녹내장(예: 눈의 통증, 눈이 침침함 등), 배뇨(소변을 눔)곤란 등이 있는 사람, 몸이 약한 사람 또는 고열이 있는 사람",PDF 시각 줄바꿈과 중간 목록 생략을 표시해 상위 지시문과 대상 항목 복원
