clinical_node_id,ingredient,candidate_passages,unique_pmids,unique_pmcids,passages_with_dose,passages_with_population,passages_with_duration,top_safety_signals,top_dose_mentions,top_population_mentions,top_duration_mentions,top_candidate_ids,synthesis_status,human_verified_candidates
K1,vitamin D/calcium,63,13,13,28,14,27,hypercalcemia:29;risk:28;safety:21;toxicity:17;harm:16;adverse event:13;hypercalciuria:8;kidney stone:6;adverse effect:6;nephrolithiasis:3,"10,000 IU:5;100,000 IU:3;400 IU:3;1000 IU:2;2500 IU:2;400,000 IU:2;4,000 IU/day:2;300 µg:2;200 IU:2;2000 IU daily:2",children:6;women:4;adult:3;infants:1;elderly:1;men:1;postmenopausal:1;child:1,10 weeks:3;60 days:2;30 days:2;14 days:2;8 weeks:2;70 years:2;4 weeks:2;4 months:2;12 months:2;7 months:2,AI-FT-EV-K1-40775686-01;AI-FT-EV-K1-39300483-01;AI-FT-EV-K1-24937025-01;AI-FT-EV-K1-38892507-01;AI-FT-EV-K1-24937025-02;AI-FT-EV-K1-24937025-03;AI-FT-EV-K1-24937025-04;AI-FT-EV-K1-38787821-01;AI-FT-EV-K1-40083990-01;AI-FT-EV-K1-40551736-01,ai_aggregate_not_human_verified,0
K2,vitamin B6,45,9,9,13,4,15,neuropathy:25;sensory:14;risk:12;toxicity:10;neurotoxicity:9;side effect:7;paresthesia:6;adverse effect:5;adverse event:5;harm:5,"200 mg:3;50 mg/day:2;50 mg:2;100 mg/day:2;25 mg/day:1;6,000 mg/day:1;6 g:1;500 mg/day:1;100 mg:1;150 mg/day:1",women:3;pregnant:2;children:1;infants:1;pregnancy:1;elderly:1,6 months:4;12 months:4;2 months:3;2 weeks:2;3 years:2;13 months:2;72 months:1;40 months:1;5 years:1;100 days:1,AI-FT-EV-K2-37207271-01;AI-FT-EV-K2-36367997-01;AI-FT-EV-K2-39134879-01;AI-FT-EV-K2-36367997-02;AI-FT-EV-K2-36367997-03;AI-FT-EV-K2-37207271-02;AI-FT-EV-K2-40853095-01;AI-FT-EV-K2-40853095-02;AI-FT-EV-K2-36367997-04;AI-FT-EV-K2-36367997-05,ai_aggregate_not_human_verified,0
K3,iron,80,16,16,24,34,19,gastrointestinal:39;constipation:30;nausea:29;side effect:25;adverse effect:24;adverse event:22;safety:21;abdominal:18;diarrhea:13;risk:13,60 mg:7;200 mg:5;30 mg:4;10 mg:3;120 mg/day:3;120 mg:3;400 mg:3;500 mg:3;400 μg:2;1000 mg:2,women:26;pregnant:12;pregnancy:11;children:8;child:3;adult:2;infant:2;men:1;childbirth:1;woman:1,18 years:4;4 weeks:3;12 weeks:2;3 months:2;12 months:2;15 years:1;26 weeks:1;34 weeks:1;45 years:1;21 days:1,AI-FT-EV-K3-42078226-01;AI-FT-EV-K3-40382392-01;AI-FT-EV-K3-41562674-01;AI-FT-EV-K3-39494607-01;AI-FT-EV-K3-40073039-01;AI-FT-EV-K3-24899360-01;AI-FT-EV-K3-25700159-01;AI-FT-EV-K3-25700159-02;AI-FT-EV-K3-37010569-01;AI-FT-EV-K3-39449947-01,ai_aggregate_not_human_verified,0
K4,magnesium,65,13,13,16,23,12,risk:30;toxicity:29;gastrointestinal:20;adverse event:19;hypermagnesemia:14;harm:13;adverse effect:12;side effect:12;safety:10;diarrhea:7,350 mg:4;1200 mg:3;75 mg:3;1650 mg/day:3;360 mg:2;300 mg:2;200 mg:1;250 mg:1;1531 mg:1;652 mg:1,women:8;elderly:7;men:6;pregnant:6;pregnancy:5;adult:3;postmenopausal:3;woman:1;infants:1;infant:1,65 years:2;36 days:2;7 days:1;63 years:1;32.3 years:1;3 years:1;10 years:1;68 years:1;30 days:1;44 weeks:1,AI-FT-EV-K4-37487817-01;AI-FT-EV-K4-37487817-02;AI-FT-EV-K4-37487817-03;AI-FT-EV-K4-33275278-01;AI-FT-EV-K4-37487817-04;AI-FT-EV-K4-37487817-05;AI-FT-EV-K4-31105568-01;AI-FT-EV-K4-32956536-01;AI-FT-EV-K4-32956536-02;AI-FT-EV-K4-40944226-01,ai_aggregate_not_human_verified,0
K5,zinc,73,15,15,24,42,22,risk:37;anemia:25;gastrointestinal:19;side effect:17;adverse effect:14;toxicity:9;safety:9;harm:9;nausea:8;copper deficiency:6,5 mg:8;20 mg:8;10 mg:7;30 mg:4;60 mg:4;120 mg:3;20 mg per day:2;10 mg per day:2;20 mg/day:2;40 mg:2,children:18;pregnancy:11;women:10;pregnant:8;elderly:5;infants:5;childhood:4;men:4;adult:3;child:3,14 days:5;6 months:4;5 years:2;59 months:2;37 weeks:2;20 weeks:2;23 months:2;11 months:1;71 years:1;10 days:1,AI-FT-EV-K5-40334186-01;AI-FT-EV-K5-34564844-01;AI-FT-EV-K5-40334186-02;AI-FT-EV-K5-41294920-01;AI-FT-EV-K5-31910279-01;AI-FT-EV-K5-34564844-02;AI-FT-EV-K5-34564844-03;AI-FT-EV-K5-34564844-04;AI-FT-EV-K5-34564844-05;AI-FT-EV-K5-41294920-02,ai_aggregate_not_human_verified,0
