pmcid,source_path,source_sha256,linked_candidate_records,paragraphs_parsed,ai_evidence_candidates,review_status
PMC12651211,research_v3/full_text/oa_xml/PMC12651211.xml,9e2a6efcb29fc9e6f1d5790c9f68916d59a7a735c22b838f53582b5beedb7d3d,1,55,5,ai_extracted_not_human_verified
PMC12811114,research_v3/full_text/oa_xml/PMC12811114.xml,88bf1789d3923e01b16f843261084eb434825a0a420df976ee15b13186dcadd7,1,51,5,ai_extracted_not_human_verified
PMC12821660,research_v3/full_text/oa_xml/PMC12821660.xml,daa91d1def54789103451b0380804e8697f3734f16bcc91abb9a6461fbfd5afd,1,22,5,ai_extracted_not_human_verified
PMC12908652,research_v3/full_text/oa_xml/PMC12908652.html,6395460a507e5b4f6a05615c9fd8f5d4f66d1ab2850b559a1aedc890f160c6ba,1,45,5,ai_extracted_not_human_verified
PMC13134476,research_v3/full_text/oa_xml/PMC13134476.xml,5629be2be8e431ac21d85907cdcbb9e286d4b20049b17e1aeb25324314bc19eb,1,34,5,ai_extracted_not_human_verified
PMC13325581,research_v3/full_text/oa_xml/PMC13325581.html,39f11d14b6f158fc08b1f87cbe75cf661d5ec48d7dbcece5596474e2d4fd9421,1,77,5,ai_extracted_not_human_verified
PMC4082414,research_v3/full_text/oa_xml/PMC4082414.xml,f1eeb98cc57ff73f7446f99243933ab99618c63c8d06f5e0e9a5ab3ba9a8a592,1,20,5,ai_extracted_not_human_verified
PMC4209182,research_v3/full_text/oa_xml/PMC4209182.html,faf44f01ec2f70a1586e96f96ed7d0559496f31dbe7943eecf3278a04a19b1a9,1,67,5,ai_extracted_not_human_verified
PMC4336293,research_v3/full_text/oa_xml/PMC4336293.xml,2be0dd11737ceac41febcde27b2da0a2ad4c1ae61fe3a3eea7a29e52fba75fd5,1,35,5,ai_extracted_not_human_verified
PMC5866964,research_v3/full_text/oa_xml/PMC5866964.xml,2e91fd37c4ce2668ea40b44f893df3ac083c36fbf85f4c8fcf486cbca8544fa6,1,33,3,ai_extracted_not_human_verified
PMC6361089,research_v3/full_text/oa_xml/PMC6361089.html,a74bb2b5cc91830c5945cc290ca46ae3007c36196b7e529d9c641a98e3878880,1,25,5,ai_extracted_not_human_verified
PMC6373027,research_v3/full_text/oa_xml/PMC6373027.xml,9e72c8f3455340f40d59c97325069a5503aed0c1ce2ed04326096847902a4e31,1,21,5,ai_extracted_not_human_verified
PMC6380771,research_v3/full_text/oa_xml/PMC6380771.html,692a2f361570be699d3b1aa1a073c3e931082a17f23d6e2b44b414605074f228,1,299,5,ai_extracted_not_human_verified
PMC6384168,research_v3/full_text/oa_xml/PMC6384168.html,80fd1186923f3dc5fb6ad31c80b8cb0eb8829f7364a5f2e36ce915710a3145b9,1,49,5,ai_extracted_not_human_verified
PMC6491191,research_v3/full_text/oa_xml/PMC6491191.html,02249a9f615c385a5bc0b606ba735c0c48bf2a7a88a3b85fce3f7bda6bff622f,1,600,5,ai_extracted_not_human_verified
PMC6499034,research_v3/full_text/oa_xml/PMC6499034.xml,a1a6a0def85cad43180fddbb5d3f296f0b5f724094fbc367ac729cf6df0b09ca,1,48,5,ai_extracted_not_human_verified
PMC6953350,research_v3/full_text/oa_xml/PMC6953350.html,f1eb0b4d3ee8cac4e1f1c833767d7211754f466c6ceb030d91b58f71a62f3c21,1,168,5,ai_extracted_not_human_verified
PMC6990807,research_v3/full_text/oa_xml/PMC6990807.html,07b883ee3c59f0dcd05bf876145f11a32c1dc321ea7df9190f72962e498ba479,1,100,5,ai_extracted_not_human_verified
PMC7071347,research_v3/full_text/oa_xml/PMC7071347.xml,06bd2f925c52b5c90fec9d0f78945f550ce062786949b0bedbcddde8684a4ea6,1,79,5,ai_extracted_not_human_verified
PMC7704399,research_v3/full_text/oa_xml/PMC7704399.xml,221c231d8b5ae6eb14a57fa15f5b66933ac94e40978b4c4166551787f315ffd9,1,34,5,ai_extracted_not_human_verified
PMC8094171,research_v3/full_text/oa_xml/PMC8094171.html,e9730eee169a2bc640122f0d05ca69cb1e1bbb18a0fade8e9fc270105566a578,1,202,5,ai_extracted_not_human_verified
PMC8094374,research_v3/full_text/oa_xml/PMC8094374.html,0b6f2a5d9a41605ed805644f9bc566caf41026454e05f8c3164309b9d9df8455,1,211,5,ai_extracted_not_human_verified
PMC8356361,research_v3/full_text/oa_xml/PMC8356361.xml,2af139b379c6f48f95c6937334d28f2fc49c858ebb6def14e9acffb947043887,1,426,5,ai_extracted_not_human_verified
PMC8464655,research_v3/full_text/oa_xml/PMC8464655.html,f6684302d0536fa68deb68f13bb331adea2d12a2b070d8d3e04f9c6fd925c637,1,372,5,ai_extracted_not_human_verified
PMC8860108,research_v3/full_text/oa_xml/PMC8860108.xml,5f1b6b703b6b5fa2e9fad67c1203bcb78fd69155cb819f16676c8807c1a21c0b,1,61,5,ai_extracted_not_human_verified
PMC8994895,research_v3/full_text/oa_xml/PMC8994895.xml,6ad388b1bcb028c4b18776adf469a3f72119d0114ff87c5037675c687c467f64,1,41,5,ai_extracted_not_human_verified
PMC9339724,research_v3/full_text/oa_xml/PMC9339724.xml,7b6ee69174502e5958b31f452069c548d87079d418b141a2ab46b1c163716258,1,50,5,ai_extracted_not_human_verified
PMC9649334,research_v3/full_text/oa_xml/PMC9649334.xml,9291e5e8cb75980e0b0802611b91eaae30efd7aa286d3aab23459b28840c478a,1,11,5,ai_extracted_not_human_verified
PMC9899558,research_v3/full_text/oa_xml/PMC9899558.html,6a8c4cab0926c25e74b35be5fa2d78bd7304b7cfe59e8b8b16a5a68a43495033,1,288,5,ai_extracted_not_human_verified
PMC9928634,research_v3/full_text/oa_xml/PMC9928634.html,a1aa7b65d1fa72bf4e6ca6986762fc6d6a17f70036cfd6868655811afb33dac6,1,85,5,ai_extracted_not_human_verified
