quantitative_id,evidence_id,record_id,ingredient_id,statistic_type,measure_label,estimate,ci_lower,ci_upper,range_lower,range_upper,numerator,denominator,unit,exact_text,source_id,locator,extraction_method,validation_status,synthesis_eligible
QT-AI-FT-EV-K2-35919449-05-02,AI-FT-EV-K2-35919449-05,EV-K2-35919449,K2,reported_percentage,percentage,3,,,,,,,%,3%,PMC9339724,"PMC9339724, Discussion, p42",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K2-36367997-04-01,AI-FT-EV-K2-36367997-04,EV-K2-36367997,K2,reported_percentage,percentage,99.8,,,,,,,%, 99.8%,PMC9928634,"PMC9928634, TABLE 1., html-p26",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K2-36367997-04-02,AI-FT-EV-K2-36367997-04,EV-K2-36367997,K2,reported_percentage,percentage,96.3,,,,,,,%,96.3%,PMC9928634,"PMC9928634, TABLE 1., html-p26",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K2-37207271-03-01,AI-FT-EV-K2-37207271-03,EV-K2-37207271,K2,reported_percentage,percentage,48,,,,,,,%,48%,PMC10189633,"PMC10189633, Assessment > Hazard characterisation > Selection of the critical effect and the reference point, p228",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K2-37447150-05-01,AI-FT-EV-K2-37447150-05,EV-K2-37447150,K2,relative_effect_measure,OR,200,,,,,,,ratio,or 200,PMC10343656,"PMC10343656, 3. Results > 3.3. Neuropathy due to B6 Toxicity, p35",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K2-37697258-03-01,AI-FT-EV-K2-37697258-03,EV-K2-37697258,K2,reported_percentage,percentage,70,,,,,,,%,70%,PMC10494335,"PMC10494335, Materials and methods > Study protocol > Sample size, Par21",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K2-37697258-03-02,AI-FT-EV-K2-37697258-03,EV-K2-37697258,K2,reported_percentage,percentage,55,,,,,,,%,55%,PMC10494335,"PMC10494335, Materials and methods > Study protocol > Sample size, Par21",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K3-25700159-04-01,AI-FT-EV-K3-25700159-04,EV-K3-25700159,K3,relative_effect_measure,RR,2.36,0.96,5.82,,,,,ratio,RR 2.36; 95% CI 0.96–5.82,PMC4336293,"PMC4336293, Discussion, p29",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K3-25700159-04-02,AI-FT-EV-K3-25700159-04,EV-K3-25700159,K3,relative_effect_measure,RR,0.56,0.37,0.84,,,,,ratio,RR 0.56; 95% CI 0.37–0.84,PMC4336293,"PMC4336293, Discussion, p29",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K3-25700159-04-03,AI-FT-EV-K3-25700159-04,EV-K3-25700159,K3,reported_percentage,percentage,25.3,,,,,,,%,25.3%,PMC4336293,"PMC4336293, Discussion, p29",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K3-25700159-04-04,AI-FT-EV-K3-25700159-04,EV-K3-25700159,K3,reported_percentage,percentage,9.91,,,,,,,%,9.91%,PMC4336293,"PMC4336293, Discussion, p29",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K3-38641845-01-01,AI-FT-EV-K3-38641845-01,EV-K3-38641845,K3,reported_percentage,percentage,1.7,,,,,,,%,1.7%,PMC11027386,"PMC11027386, Background {6a and 6B}, Par5",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K3-38641845-01-02,AI-FT-EV-K3-38641845-01,EV-K3-38641845,K3,reported_fraction,fraction,,,,,,2,117,count,2/117,PMC11027386,"PMC11027386, Background {6a and 6B}, Par5",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K3-39114275-04-01,AI-FT-EV-K3-39114275-04,EV-K3-39114275,K3,reported_percentage,percentage,34,,,,,,,%,34%,PMC11304700,"PMC11304700, Introduction, p0040",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K3-39449947-02-01,AI-FT-EV-K3-39449947-02,EV-K3-39449947,K3,reported_percentage,percentage,30.7,,,,,,,%,30.7%,PMC11501097,"PMC11501097, Results, p37",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K3-39449947-02-02,AI-FT-EV-K3-39449947-02,EV-K3-39449947,K3,reported_percentage,percentage,28.4,,,,,,,%,28.4%,PMC11501097,"PMC11501097, Results, p37",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K3-39449947-02-03,AI-FT-EV-K3-39449947-02,EV-K3-39449947,K3,reported_percentage,percentage,21.4,,,,,,,%,21.4%,PMC11501097,"PMC11501097, Results, p37",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K3-39449947-02-04,AI-FT-EV-K3-39449947-02,EV-K3-39449947,K3,reported_percentage,percentage,14.2,,,,,,,%,14.2%,PMC11501097,"PMC11501097, Results, p37",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K3-39494607-03-01,AI-FT-EV-K3-39494607-03,EV-K3-39494607,K3,reported_percentage,percentage,0,,,,,,,%,0 %,PMC11646675,"PMC11646675, Results > Patient demographics, intolerance development and treatment discontinuation, p21",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K3-39494607-03-02,AI-FT-EV-K3-39494607-03,EV-K3-39494607,K3,reported_percentage,percentage,3,,,,,,,%,3 %,PMC11646675,"PMC11646675, Results > Patient demographics, intolerance development and treatment discontinuation, p21",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K3-39494607-03-03,AI-FT-EV-K3-39494607-03,EV-K3-39494607,K3,reported_percentage,percentage,0,,,,,,,%,0 %,PMC11646675,"PMC11646675, Results > Patient demographics, intolerance development and treatment discontinuation, p21",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K3-39494607-03-04,AI-FT-EV-K3-39494607-03,EV-K3-39494607,K3,reported_percentage,percentage,3,,,,,,,%,3 %,PMC11646675,"PMC11646675, Results > Patient demographics, intolerance development and treatment discontinuation, p21",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K3-39494607-03-05,AI-FT-EV-K3-39494607-03,EV-K3-39494607,K3,reported_percentage,percentage,7,,,,,,,%,7 %,PMC11646675,"PMC11646675, Results > Patient demographics, intolerance development and treatment discontinuation, p21",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K3-39494607-03-06,AI-FT-EV-K3-39494607-03,EV-K3-39494607,K3,reported_percentage,percentage,7,,,,,,,%,7 %,PMC11646675,"PMC11646675, Results > Patient demographics, intolerance development and treatment discontinuation, p21",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K3-39494607-04-01,AI-FT-EV-K3-39494607-04,EV-K3-39494607,K3,reported_percentage,percentage,8,,,,,,,%,8 %,PMC11646675,"PMC11646675, Results > Intolerance data at baseline and within 3 months of iron replacement in study groups, p25",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K3-39494607-04-02,AI-FT-EV-K3-39494607-04,EV-K3-39494607,K3,reported_percentage,percentage,8,,,,,,,%,8 %,PMC11646675,"PMC11646675, Results > Intolerance data at baseline and within 3 months of iron replacement in study groups, p25",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K3-39494607-05-01,AI-FT-EV-K3-39494607-05,EV-K3-39494607,K3,reported_percentage,percentage,8,,,,,,,%,8 %,PMC11646675,"PMC11646675, Results > Intolerance data at baseline and within 3 months of iron replacement in study groups, p23",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K3-39494607-05-02,AI-FT-EV-K3-39494607-05,EV-K3-39494607,K3,reported_percentage,percentage,4,,,,,,,%,4 %,PMC11646675,"PMC11646675, Results > Intolerance data at baseline and within 3 months of iron replacement in study groups, p23",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K3-40050333-02-01,AI-FT-EV-K3-40050333-02,EV-K3-40050333,K3,reported_percentage,percentage,40,,,,,,,%,40%,PMC11885599,"PMC11885599, Discussion, Par36",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K3-40073039-02-01,AI-FT-EV-K3-40073039-02,EV-K3-40073039,K3,reported_percentage,percentage,33.3,,,,,,,%,33.3%,PMC11902287,"PMC11902287, Results > Adverse events, p36",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K3-40073039-02-02,AI-FT-EV-K3-40073039-02,EV-K3-40073039,K3,reported_percentage,percentage,10.0,,,,,,,%,10.0%,PMC11902287,"PMC11902287, Results > Adverse events, p36",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K3-40073039-02-03,AI-FT-EV-K3-40073039-02,EV-K3-40073039,K3,reported_percentage,percentage,3.3,,,,,,,%,3.3%,PMC11902287,"PMC11902287, Results > Adverse events, p36",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K3-40224710-05-01,AI-FT-EV-K3-40224710-05,EV-K3-40224710,K3,relative_effect_measure,OR,400,,,,,,,ratio,or 400,PMC11992272,"PMC11992272, Randomisation and Study Intervention, html-p9",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K3-40382392-02-01,AI-FT-EV-K3-40382392-02,EV-K3-40382392,K3,reported_fraction,fraction,,,,,,14,02,count,14/02,PMC12085664,"PMC12085664, Materials and methods > Clinical, Par7",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K3-40542094-01-01,AI-FT-EV-K3-40542094-01,EV-K3-40542094,K3,reported_percentage,percentage,30,,,,,,,%,30%,PMC12811114,"PMC12811114, Discussion > Efficacy of liposomal iron intervention, Par47",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
