quantitative_id,evidence_id,record_id,ingredient_id,statistic_type,measure_label,estimate,ci_lower,ci_upper,range_lower,range_upper,numerator,denominator,unit,exact_text,source_id,locator,extraction_method,validation_status,synthesis_eligible
QT-AI-FT-EV-K5-31910279-02-05,AI-FT-EV-K5-31910279-02,EV-K5-31910279,K5,reported_percentage,percentage,4.7,,,,,,,%,4.7%,PMC6990807,"PMC6990807, Results, html-p24",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K5-31910279-02-06,AI-FT-EV-K5-31910279-02,EV-K5-31910279,K5,reported_percentage,percentage,2.8,,,,,,,%,2.8%,PMC6990807,"PMC6990807, Results, html-p24",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K5-31910279-02-07,AI-FT-EV-K5-31910279-02,EV-K5-31910279,K5,reported_percentage,percentage,6,,,,,,,%,6%,PMC6990807,"PMC6990807, Results, html-p24",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K5-31910279-02-08,AI-FT-EV-K5-31910279-02,EV-K5-31910279,K5,reported_percentage,percentage,3,,,,,,,%,3%,PMC6990807,"PMC6990807, Results, html-p24",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K5-31910279-02-09,AI-FT-EV-K5-31910279-02,EV-K5-31910279,K5,reported_percentage,percentage,4,,,,,,,%,4%,PMC6990807,"PMC6990807, Results, html-p24",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K5-31910279-02-10,AI-FT-EV-K5-31910279-02,EV-K5-31910279,K5,reported_percentage,percentage,2,,,,,,,%,2%,PMC6990807,"PMC6990807, Results, html-p24",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K5-31910279-02-11,AI-FT-EV-K5-31910279-02,EV-K5-31910279,K5,reported_percentage,percentage,3,,,,,,,%,3%,PMC6990807,"PMC6990807, Results, html-p24",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K5-31910279-02-12,AI-FT-EV-K5-31910279-02,EV-K5-31910279,K5,reported_percentage,percentage,1,,,,,,,%,1%,PMC6990807,"PMC6990807, Results, html-p24",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K5-31910279-05-01,AI-FT-EV-K5-31910279-05,EV-K5-31910279,K5,reported_percentage,percentage,32,,,,,,,%,32%,PMC6990807,"PMC6990807, Table 4. Couple-Based Secondary Outcomes., html-p78",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K5-31910279-05-02,AI-FT-EV-K5-31910279-05,EV-K5-31910279,K5,reported_percentage,percentage,27,,,,,,,%,27%,PMC6990807,"PMC6990807, Table 4. Couple-Based Secondary Outcomes., html-p78",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K5-32075071-01-01,AI-FT-EV-K5-32075071-01,EV-K5-32075071,K5,reported_percentage,percentage,20,,,,,,,%,20%,PMC7071347,"PMC7071347, 1. Introduction > 1.2. Current Strategies and Interventions, p6",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K5-32075071-02-01,AI-FT-EV-K5-32075071-02,EV-K5-32075071,K5,relative_effect_measure,RR,0.84,0.76,0.92,,,,,ratio,RR 0.84; 95% CI 0.76 to 0.92,PMC7071347,"PMC7071347, 3. Results > 3.7. Multiple Micronutrient Supplementation Versus Iron Folic Acid Supplementation > 3.7.1. Child Health and Developmental Outcomes, p53",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K5-32075071-02-02,AI-FT-EV-K5-32075071-02,EV-K5-32075071,K5,reported_percentage,percentage,16,,,,,,,%,16%,PMC7071347,"PMC7071347, 3. Results > 3.7. Multiple Micronutrient Supplementation Versus Iron Folic Acid Supplementation > 3.7.1. Child Health and Developmental Outcomes, p53",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K5-34564844-03-01,AI-FT-EV-K5-34564844-03,EV-K5-34564844,K5,reported_percentage,percentage,50,,,,,,,%,50%,PMC8464655,"PMC8464655, Preschool and school‐aged children (aged 2 to 10 years), html-p314",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K5-34564844-03-02,AI-FT-EV-K5-34564844-03,EV-K5-34564844,K5,reported_percentage,percentage,88,,,,,,,%,88%,PMC8464655,"PMC8464655, Preschool and school‐aged children (aged 2 to 10 years), html-p314",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K5-34564844-03-03,AI-FT-EV-K5-34564844-03,EV-K5-34564844,K5,reported_percentage,percentage,79,,,,,,,%,79%,PMC8464655,"PMC8464655, Preschool and school‐aged children (aged 2 to 10 years), html-p314",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K5-34564844-05-01,AI-FT-EV-K5-34564844-05,EV-K5-34564844,K5,reported_percentage,percentage,61,,,,,,,%,61%,PMC8464655,"PMC8464655, Non‐pregnant women of reproductive age (aged 19 to 49 years), html-p320",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K5-34564844-05-02,AI-FT-EV-K5-34564844-05,EV-K5-34564844,K5,reported_percentage,percentage,35,,,,,,,%,35%,PMC8464655,"PMC8464655, Non‐pregnant women of reproductive age (aged 19 to 49 years), html-p320",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K5-34564844-05-03,AI-FT-EV-K5-34564844-05,EV-K5-34564844,K5,reported_percentage,percentage,38,,,,,,,%,38%,PMC8464655,"PMC8464655, Non‐pregnant women of reproductive age (aged 19 to 49 years), html-p320",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K5-35397572-05-01,AI-FT-EV-K5-35397572-05,EV-K5-35397572,K5,reported_percentage,percentage,99.3,,,,,,,%,99.3%,PMC8994895,"PMC8994895, Results > Patient disposition and baseline characteristics, Par36",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K5-37051178-01-01,AI-FT-EV-K5-37051178-01,EV-K5-37051178,K5,reported_percentage,percentage,95,,,,,,,%,95%,PMC8356361,"PMC8356361, PUBLISHED NOTES > Characteristics of studies > Characteristics of studies awaiting classification > Characteristics of ongoing studies, p558",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K5-37051178-01-02,AI-FT-EV-K5-37051178-01,EV-K5-37051178,K5,reported_percentage,percentage,95,,,,,,,%,95%,PMC8356361,"PMC8356361, PUBLISHED NOTES > Characteristics of studies > Characteristics of studies awaiting classification > Characteristics of ongoing studies, p558",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K5-37051178-02-01,AI-FT-EV-K5-37051178-02,EV-K5-37051178,K5,reported_percentage,percentage,95,,,,,,,%,95%,PMC8356361,"PMC8356361, PUBLISHED NOTES > Characteristics of studies > Characteristics of studies awaiting classification > Characteristics of ongoing studies, p557",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K5-37051178-02-02,AI-FT-EV-K5-37051178-02,EV-K5-37051178,K5,reported_percentage,percentage,95,,,,,,,%,95%,PMC8356361,"PMC8356361, PUBLISHED NOTES > Characteristics of studies > Characteristics of studies awaiting classification > Characteristics of ongoing studies, p557",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K5-37051178-04-01,AI-FT-EV-K5-37051178-04,EV-K5-37051178,K5,reported_percentage,percentage,95,,,,,,,%, 95%,PMC8356361,"PMC8356361, DATA AND ANALYSES, p573",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K5-37051178-04-02,AI-FT-EV-K5-37051178-04,EV-K5-37051178,K5,reported_percentage,percentage,95,,,,,,,%, 95%,PMC8356361,"PMC8356361, DATA AND ANALYSES, p573",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K5-37051178-04-03,AI-FT-EV-K5-37051178-04,EV-K5-37051178,K5,reported_percentage,percentage,95,,,,,,,%, 95%,PMC8356361,"PMC8356361, DATA AND ANALYSES, p573",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K5-37051178-04-04,AI-FT-EV-K5-37051178-04,EV-K5-37051178,K5,reported_percentage,percentage,95,,,,,,,%, 95%,PMC8356361,"PMC8356361, DATA AND ANALYSES, p573",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K5-37051178-04-05,AI-FT-EV-K5-37051178-04,EV-K5-37051178,K5,reported_percentage,percentage,95,,,,,,,%, 95%,PMC8356361,"PMC8356361, DATA AND ANALYSES, p573",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K5-39641338-01-01,AI-FT-EV-K5-39641338-01,EV-K5-39641338,K5,reported_percentage,percentage,46,,,,,,,%,46%,PMC11622351,"PMC11622351, DISCUSSION, p58",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K5-39641338-03-01,AI-FT-EV-K5-39641338-03,EV-K5-39641338,K5,relative_effect_measure,OR,14,,,,,,,ratio,or 14,PMC11622351,"PMC11622351, DISCUSSION, p57",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K5-39641338-04-01,AI-FT-EV-K5-39641338-04,EV-K5-39641338,K5,relative_effect_measure,RR,0.79,,,,,,,ratio,RR = 0.79,PMC11622351,"PMC11622351, RESULTS > Comparison 3: High dose vs low dose zinc supplementation > Effect estimates, p56",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K5-39641338-04-02,AI-FT-EV-K5-39641338-04,EV-K5-39641338,K5,reported_percentage,percentage,95,,,,,,,%, 95%,PMC11622351,"PMC11622351, RESULTS > Comparison 3: High dose vs low dose zinc supplementation > Effect estimates, p56",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K5-40334186-03-01,AI-FT-EV-K5-40334186-03,EV-K5-40334186,K5,reported_percentage,percentage,95,,,,,,,%,95%,PMC12058182,"PMC12058182, Materials and methods > Synthesis methods, p11",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K5-40334186-03-02,AI-FT-EV-K5-40334186-03,EV-K5-40334186,K5,reported_percentage,percentage,95,,,,,,,%,95%,PMC12058182,"PMC12058182, Materials and methods > Synthesis methods, p11",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K5-41294920-05-01,AI-FT-EV-K5-41294920-05,EV-K5-41294920,K5,relative_effect_measure,OR,10,,,,,,,ratio,or 10,PMC12651211,"PMC12651211, 5. Zinc Dosage and Administration During Diarrhea > 5.2. Duration and Formulation Types, p37",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
