candidate_id,item_sequence,document_type,document_label,page,source_locator,pdf_path,text_path,pdf_sha256,page_text_sha256,character_count
EXP-OTC-01,201110646,EE,효능효과,1,효능효과 PDF p.1,research_v3/otc/raw/nedrug/201110646/EE.pdf,research_v3/otc/extracted/nedrug/201110646/EE.txt,7105055660e591c75565b85dc21cf1a3e34179b361165804335e43efa52b6df1,61dd5901c611714ecdf1f1ab4dd6b888f80d12e72605aba69ddc1f09e40c3133,146
EXP-OTC-01,201110646,UD,용법용량,1,용법용량 PDF p.1,research_v3/otc/raw/nedrug/201110646/UD.pdf,research_v3/otc/extracted/nedrug/201110646/UD.txt,4cd4f68e2c3b4cb4653ca61b3707b379e2b55c7fdfafadc3cf8f3ec9e6d52f08,5f0b0debec37deb380748ec14d164dd83a62acbdf0c3add2a0441ead5bd30154,91
EXP-OTC-01,201110646,NB,사용상의주의사항,1,사용상의주의사항 PDF p.1,research_v3/otc/raw/nedrug/201110646/NB.pdf,research_v3/otc/extracted/nedrug/201110646/NB.txt,1fb48f840d563a2ee2e20c1cf8d9b5d4f5461704db10a8c0970512869889b394,4442260523b9a3fef271fd850cfcd5889cf5a98cf7356f635e1047243badc889,1624
EXP-OTC-01,201110646,NB,사용상의주의사항,2,사용상의주의사항 PDF p.2,research_v3/otc/raw/nedrug/201110646/NB.pdf,research_v3/otc/extracted/nedrug/201110646/NB.txt,1fb48f840d563a2ee2e20c1cf8d9b5d4f5461704db10a8c0970512869889b394,985f6bfb8efabc4ee8f0fb25fbf81b60504a9d5a096aea233f7cc823bdfe286d,850
EXP-OTC-01,201110646,NB,사용상의주의사항,3,사용상의주의사항 PDF p.3,research_v3/otc/raw/nedrug/201110646/NB.pdf,research_v3/otc/extracted/nedrug/201110646/NB.txt,1fb48f840d563a2ee2e20c1cf8d9b5d4f5461704db10a8c0970512869889b394,c513b07831fc5fcec984735a3b4f40cce41f39e754e65b94488ffd1d061dc341,1193
EXP-OTC-01,201110646,NB,사용상의주의사항,4,사용상의주의사항 PDF p.4,research_v3/otc/raw/nedrug/201110646/NB.pdf,research_v3/otc/extracted/nedrug/201110646/NB.txt,1fb48f840d563a2ee2e20c1cf8d9b5d4f5461704db10a8c0970512869889b394,0d2f7579415b91552d25a0ba136b6f1decd0ce3dc77ad2d26f6f0b5bdf53e39a,1138
EXP-OTC-01,201110646,NB,사용상의주의사항,5,사용상의주의사항 PDF p.5,research_v3/otc/raw/nedrug/201110646/NB.pdf,research_v3/otc/extracted/nedrug/201110646/NB.txt,1fb48f840d563a2ee2e20c1cf8d9b5d4f5461704db10a8c0970512869889b394,bcb16c6f770535f887796ba763aabefb22038439e8ae8e8eadbef8243d86fd05,1495
EXP-OTC-01,201110646,NB,사용상의주의사항,6,사용상의주의사항 PDF p.6,research_v3/otc/raw/nedrug/201110646/NB.pdf,research_v3/otc/extracted/nedrug/201110646/NB.txt,1fb48f840d563a2ee2e20c1cf8d9b5d4f5461704db10a8c0970512869889b394,ff34b173aa508a927c6d8b8683d772306bbcfd94dc19c8ad92dbf5adc063dc08,1629
EXP-OTC-01,201110646,NB,사용상의주의사항,7,사용상의주의사항 PDF p.7,research_v3/otc/raw/nedrug/201110646/NB.pdf,research_v3/otc/extracted/nedrug/201110646/NB.txt,1fb48f840d563a2ee2e20c1cf8d9b5d4f5461704db10a8c0970512869889b394,576c1739d10fcd8293ac1e5a168683b8fa033bf784857483d51f12d89782e0de,1607
EXP-OTC-01,201110646,NB,사용상의주의사항,8,사용상의주의사항 PDF p.8,research_v3/otc/raw/nedrug/201110646/NB.pdf,research_v3/otc/extracted/nedrug/201110646/NB.txt,1fb48f840d563a2ee2e20c1cf8d9b5d4f5461704db10a8c0970512869889b394,c2fa86a2ab8f0f16b41b9cfa1fdb2ea57325b9be20b91786f5f58ebe24e93da0,1404
EXP-OTC-01,201110646,NB,사용상의주의사항,9,사용상의주의사항 PDF p.9,research_v3/otc/raw/nedrug/201110646/NB.pdf,research_v3/otc/extracted/nedrug/201110646/NB.txt,1fb48f840d563a2ee2e20c1cf8d9b5d4f5461704db10a8c0970512869889b394,a80d3a5e573a3065a4bbd127ea60eb5b9b4d19b2dca622b469c3bd60c9078ea0,1598
EXP-OTC-01,201110646,NB,사용상의주의사항,10,사용상의주의사항 PDF p.10,research_v3/otc/raw/nedrug/201110646/NB.pdf,research_v3/otc/extracted/nedrug/201110646/NB.txt,1fb48f840d563a2ee2e20c1cf8d9b5d4f5461704db10a8c0970512869889b394,f13fa39f7256fb4b5bd3d52085e3da28bde9f8ad4df9dbb98420a15d4d4dccf5,1557
EXP-OTC-01,201110646,NB,사용상의주의사항,11,사용상의주의사항 PDF p.11,research_v3/otc/raw/nedrug/201110646/NB.pdf,research_v3/otc/extracted/nedrug/201110646/NB.txt,1fb48f840d563a2ee2e20c1cf8d9b5d4f5461704db10a8c0970512869889b394,33bfeed8cd7f740766b65737aacd760e30d9897fa6b13bfbe89e664e88b84b66,1209
EXP-OTC-02,197500016,EE,효능효과,1,효능효과 PDF p.1,research_v3/otc/raw/nedrug/197500016/EE.pdf,research_v3/otc/extracted/nedrug/197500016/EE.txt,f7624a71e89df74b7a1b2c201ec0d7571aa8b10031f0efcce752462cb0093ba1,2fc04a3b37560c1782a5286c7dbfb233051174d6b4cba0d13e74a638baa04347,201
EXP-OTC-02,197500016,UD,용법용량,1,용법용량 PDF p.1,research_v3/otc/raw/nedrug/197500016/UD.pdf,research_v3/otc/extracted/nedrug/197500016/UD.txt,989b9ab7b54bbde65b3d441b208c18d5b5b3c6aeff972ac9e6ba87023ad32944,c2a9a102780db64776d1877c8f77c7ad5a3d5ee3eef0d9c49ce3cae34f964900,563
EXP-OTC-02,197500016,NB,사용상의주의사항,1,사용상의주의사항 PDF p.1,research_v3/otc/raw/nedrug/197500016/NB.pdf,research_v3/otc/extracted/nedrug/197500016/NB.txt,26f401879a1c0d4ba8d9a648564a7cfae48e373086d75ff4daa170f9ed0fe1a6,51b20428d6453857b54af8372a240a90422dfff00ce9a5cd03063528dc09dd1b,1230
EXP-OTC-02,197500016,NB,사용상의주의사항,2,사용상의주의사항 PDF p.2,research_v3/otc/raw/nedrug/197500016/NB.pdf,research_v3/otc/extracted/nedrug/197500016/NB.txt,26f401879a1c0d4ba8d9a648564a7cfae48e373086d75ff4daa170f9ed0fe1a6,e4ab4047916baab3f6044015a4b0cb053530b2e579c15f2f97376096670dc6e7,952
EXP-OTC-02,197500016,NB,사용상의주의사항,3,사용상의주의사항 PDF p.3,research_v3/otc/raw/nedrug/197500016/NB.pdf,research_v3/otc/extracted/nedrug/197500016/NB.txt,26f401879a1c0d4ba8d9a648564a7cfae48e373086d75ff4daa170f9ed0fe1a6,36578ece138d5f2e82c2b426a27b0724f03a40fe2f6a0c51aae7a387ca94a8af,1579
EXP-OTC-02,197500016,NB,사용상의주의사항,4,사용상의주의사항 PDF p.4,research_v3/otc/raw/nedrug/197500016/NB.pdf,research_v3/otc/extracted/nedrug/197500016/NB.txt,26f401879a1c0d4ba8d9a648564a7cfae48e373086d75ff4daa170f9ed0fe1a6,540e4f860175715d6e93e4c59c52b32030b15836ec12310b7f2693f725e180da,1464
EXP-OTC-02,197500016,NB,사용상의주의사항,5,사용상의주의사항 PDF p.5,research_v3/otc/raw/nedrug/197500016/NB.pdf,research_v3/otc/extracted/nedrug/197500016/NB.txt,26f401879a1c0d4ba8d9a648564a7cfae48e373086d75ff4daa170f9ed0fe1a6,363b1e755e67931594e53330d82294be3f44be2b6db259634ba0f90e5ed9c641,1708
EXP-OTC-02,197500016,NB,사용상의주의사항,6,사용상의주의사항 PDF p.6,research_v3/otc/raw/nedrug/197500016/NB.pdf,research_v3/otc/extracted/nedrug/197500016/NB.txt,26f401879a1c0d4ba8d9a648564a7cfae48e373086d75ff4daa170f9ed0fe1a6,b44e30ee8bbdc15a232f36ffaaef312e3b26102cdc1c51bf2392ae345fcf5f78,1476
