ingredient_form_group_id,ingredient_codes,official_dosage_form,research_classifications,official_product_count,retail_sku_count,official_product_keys
HKG-dac006fb541c9a4207a9,I000032;I000259;I000622;I000703;I001069;I001587;I001985;I002541;I003409;I004465;I005713;I005733;I005885;I006525;I012318,정제,topical_or_local,1,1,health.kr:2021122100001
HKG-dcaf626243be85b993fb,I000032;I000259;I000622;I000652;I000703;I001069;I001471;I001587;I001985;I002011;I002541;I003016;I003208;I003218;I003412;I003529;I003672;I003811;I004351;I004524;I004642;I004650;I005733;I005885;I006055;I006520;I006606;I007671,정제,other_otc,1,1,health.kr:2016050200007
HKG-ddb643127dc3da292625,I001784;I006391;I007282,액제,cold_respiratory,1,2,health.kr:2018110500002
HKG-de010c54a29547f30852,I000032;I000236;I000259;I000622;I000703;I001069;I001587;I001642;I001985;I002541;I003412;I004351;I004465;I005885;I006525;I012316;I012318,정제,topical_or_local,1,1,health.kr:2022022300003
HKG-df867d48e21806721653,I000032;I000259;I000703;I001587;I002541;I003016;I003412;I003529;I004351;I004465;I005885;I012316;I012318,정제,topical_or_local,1,1,health.kr:2017030900001
HKG-e00024826afd5c7f9055,I004865,시럽제,analgesic_antiinflammatory,3,3,health.kr:2016071900002;health.kr:2019062500057;health.kr:2024112700006
HKG-e17abaf355115922a606,I002775;I004558;I004615;I007293,분무제,cold_respiratory,1,1,health.kr:2024081400010
HKG-e274478a3c9c7b983ba8,I000051;I001313;I006091;I006548;I007314,정제,gastrointestinal,2,2,health.kr:2022011200014;health.kr:2022032100002
HKG-e314fa8cdf05cbca3adb,I005978,가글액제,analgesic_antiinflammatory,2,2,health.kr:2015081800005;health.kr:2020120700001
HKG-e5acd66ebf31dda099b5,I005341,액제,topical_or_local,2,2,health.kr:2018021200007;health.kr:2025031100001
HKG-e5d48ba93e5dac6b9a23,I000234;I001974;I002199;I003757;I006449;I006548;I006599;I006974;I007344,정제,gastrointestinal,1,1,health.kr:2018100500006
HKG-e6fd658ea18e41433563,I000032;I000259;I000622;I000703;I001069;I001587;I001985;I003412;I003529;I004351;I004465;I005713;I005733;I005885;I012318,정제,topical_or_local,1,1,health.kr:2024062000004
HKG-ef60c8e2b0d67a33f6d6,I001696;I001885;I006323;I006447;I006474;I006480,경질캡슐,other_otc,1,1,health.kr:A11AOOOOO1808
HKG-f32e4ed35a2b8aeed878,I004850,정제,other_otc,1,1,health.kr:2019050200137
HKG-f36f6ade5b985558205a,I000259;I000622;I000703;I001587;I001642;I001985;I002541;I002717;I003412;I004642;I004928;I006525,정제,topical_or_local,1,1,health.kr:2021102600014
HKG-f4bc8113f77dfa4d8e7e,I000860;I001784;I002817;I003385;I004615;I006391,연질캡슐,analgesic_antiinflammatory,1,1,health.kr:2013041200009
HKG-f5a3e0694bd654adf130,I000032;I000259;I000703;I001587;I002541;I002717;I003412;I003529;I004351;I004642;I004928;I006606,정제,topical_or_local,1,1,health.kr:2010110300005
HKG-f5d53609e85054b885d4,I005686,액제,other_otc,2,2,health.kr:2009110600004;health.kr:2020032000005
HKG-f83efc0cbb6749dde8c7,I009204,경질캡슐,other_otc,1,1,health.kr:h55o7b3uu5o4b
HKG-f88209f60f81646d80d9,I000451;I002802;I002803;I002813;I002911;I004257;I005733,경질캡슐,gastrointestinal,1,2,health.kr:A11A3780A0129
HKG-f9c2ef18548d8f925fa6,I000032;I000259;I000622;I000703;I001069;I001471;I001587;I001985;I002011;I002541;I003412;I003529;I004351;I005713;I005885;I006606;I007347,정제,other_otc,1,1,health.kr:2012052500003
HKG-fa1855e0afba1d1b732b,I001699;I001885;I006323;I006344;I006469;I008121,과립,cold_respiratory,2,2,health.kr:A11A1520B0109;health.kr:A11AGGGGG7016
HKG-fda68a5adb5c5a3a01b0,I000975;I004843,저작정(츄어블정),antihistamine,1,1,health.kr:2016021200001
HKG-fe13d2d3c658090759f5,I001223;I001696;I001885;I006323;I006447;I006503;I008128,액제,analgesic_antiinflammatory,1,1,health.kr:A11AKP08G1151
HKG-fe6514ccd0acd64ffe54,I005942,가글액제,topical_or_local,1,1,health.kr:2021063000012
HKG-fe82a93c97e7bb4b5170,I004615;I006391;IB00233,정제,cold_respiratory,1,1,health.kr:raykmqsuqw6fy
HKG-ff65a6705a553cb989e7,I006276;I006398;I006445;I006447;I008128,환제,other_otc,1,1,health.kr:r4tv2ahltipre
HKG-ff775d2f2138df0d31a0,I001007,산제,other_otc,1,1,health.kr:2023071900001
