search_run_id,source,target_id,query,mapped_query,filters,search_date,hit_count,max_records,export_method,raw_path,status,notes
pubmed_high_dose_vitd_calcium_20260601T192944_fa5dea8b,pubmed,high_dose_vitd_calcium,(vitaminD[Title/Abstract] OR cholecalciferol[Title/Abstract] OR calcium[Title/Abstract]) AND (supplement*[Title/Abstract] OR dietary[Title/Abstract] OR over-the-counter[Title/Abstract] OR OTC[Title/Abstract]) AND (hypercalcemia[Title/Abstract] OR hypercalciuria[Title/Abstract] OR nephrolithiasis[Title/Abstract] OR toxicity[Title/Abstract] OR adverse[Title/Abstract]),(vitaminD[Title/Abstract] OR cholecalciferol[Title/Abstract] OR calcium[Title/Abstract]) AND (supplement*[Title/Abstract] OR dietary[Title/Abstract] OR over-the-counter[Title/Abstract] OR OTC[Title/Abstract]) AND (hypercalcemia[Title/Abstract] OR hypercalciuria[Title/Abstract] OR nephrolithiasis[Title/Abstract] OR toxicity[Title/Abstract] OR adverse[Title/Abstract]),,2026-06-01,4433,50,ncbi_eutils_esearch_efetch,data/systematic_search/raw/pubmed/pubmed_high_dose_vitd_calcium_20260601T192944_fa5dea8b,completed,retrieved_pmids=50
pubmed_b6_bcomplex_neuropathy_20260601T192952_ec2756d2,pubmed,b6_bcomplex_neuropathy,(pyridoxine[Title/Abstract] OR B6[Title/Abstract] OR B-complex[Title/Abstract] OR benfotiamine[Title/Abstract]) AND (supplement*[Title/Abstract] OR dietary[Title/Abstract] OR over-the-counter[Title/Abstract] OR OTC[Title/Abstract]) AND (neuropathy[Title/Abstract] OR neurotoxicity[Title/Abstract] OR toxicity[Title/Abstract] OR adverse[Title/Abstract]),(pyridoxine[Title/Abstract] OR B6[Title/Abstract] OR B-complex[Title/Abstract] OR benfotiamine[Title/Abstract]) AND (supplement*[Title/Abstract] OR dietary[Title/Abstract] OR over-the-counter[Title/Abstract] OR OTC[Title/Abstract]) AND (neuropathy[Title/Abstract] OR neurotoxicity[Title/Abstract] OR toxicity[Title/Abstract] OR adverse[Title/Abstract]),,2026-06-01,478,50,ncbi_eutils_esearch_efetch,data/systematic_search/raw/pubmed/pubmed_b6_bcomplex_neuropathy_20260601T192952_ec2756d2,completed,retrieved_pmids=50
pubmed_mineral_gi_interaction_20260601T193000_73edf5ef,pubmed,mineral_gi_interaction,(iron[Title/Abstract] OR ferrous[Title/Abstract] OR magnesium[Title/Abstract] OR calcium[Title/Abstract] OR zinc[Title/Abstract]) AND (supplement*[Title/Abstract] OR dietary[Title/Abstract] OR over-the-counter[Title/Abstract] OR OTC[Title/Abstract]) AND (constipation[Title/Abstract] OR diarrhea[Title/Abstract] OR interaction[Title/Abstract] OR absorption[Title/Abstract] OR adverse[Title/Abstract]),(iron[Title/Abstract] OR ferrous[Title/Abstract] OR magnesium[Title/Abstract] OR calcium[Title/Abstract] OR zinc[Title/Abstract]) AND (supplement*[Title/Abstract] OR dietary[Title/Abstract] OR over-the-counter[Title/Abstract] OR OTC[Title/Abstract]) AND (constipation[Title/Abstract] OR diarrhea[Title/Abstract] OR interaction[Title/Abstract] OR absorption[Title/Abstract] OR adverse[Title/Abstract]),,2026-06-01,14238,50,ncbi_eutils_esearch_efetch,data/systematic_search/raw/pubmed/pubmed_mineral_gi_interaction_20260601T193000_73edf5ef,completed,retrieved_pmids=50
